,Digital Image Processing (BCS-6A),,,,,,,,Software Engineering (BCS-6A),,,,,,,,Database Systems (BCS-6A),,,,,,,,Natural Language Processing (BCS-8A),,,,,,,, Object Oriented Programming (BDS-2A),,,,,,,,Software Testing (BCS-8B)
,Digital Logic Design (BCS-2C),,,,,,,,Parallel & Dist Computing (BCS-6F),,,,,,,,Digital Image Processing (BCS-6B),,,,,,,,Object Oriented Programming (BCS-2L),,,,,,,,Database Systems (BCS-4C),,,,,,,,International Relations (BCS-8A)
,Design & Analysis of Algo (BCS-4D),,,,,,,,Database Systems (BCS-4A),,,,,,,,Database Systems (BCS-4B),,,,,,,,Database Systems (BDS-4A),,,,,,,,Sociology (BCS-6A),,,,,,,,Professional Practices in IT (BCS-8A)
,Discrete Structures (BSE-4A),,,,,,,,Database Systems (BCS-4D),,,,,,,,Design & Analysis of Algo (BCS-4C),,,,,,,, Object Oriented Programming (BDS-2C),,,,,,,,Theory of Automata (BCS-6D),,,,,,,,Software Design & Analysis (BCS-6B)
,Parallel & Dist Computing (BCS-6C),,,,,,,,Object Oriented Programming (BCS-2J),,,,,,,,Database Systems (BSE-4A),,,,,,,,Theory of Automata (BCS-6C),,,,,,,,Probability & Statistics (BSE-4B),,,,,,,,Linear Algebra (BCS-4E)
,Islamic Studies/Ethics (BCS-2L),,,,,,,,Digital Logic Design (BCS-2A),,,,,,,,Digital Logic Design (BCS-2K),,,,,,,,Parallel & Dist Computing (BCS-6D),,,,,,,,Digital Logic Design (BCS-2N),,,,,,,,Principles of Leadership (BCS-4A)
,Object Oriented Analysis & Design (BCS-8A),,,,,,,,Blockchain and Cryptocurrency (BCS-8A),,,,,,,,Differential Equations (BDS-2D),,,,,,,,Parallel & Dist Computing (BCS-8A),,,,,,,,Digital Logic Design (BCS-2L),,,,,,,,Islamic Studies/Ethics (BDS-2B)
,Digital Logic Design (BCS-2J),,,,,,,,Digital Logic Design (BCS-2E),,,,,,,,Digital Logic Design (BCS-2G),,,,,,,,Digital Logic Design (BCS-2B),,,,,,,,Object Oriented Programming (BSE-2B),,,,,,,,Organizational Behaviour (BCS-6A)
,Intro to Cloud Computing (BCS-8A),,,,,,,,Applied Physics (BCS-2P),,,,,,,,Object Oriented Programming (BCS-2D),,,,,,,,Object Oriented Programming (BCS-2M),,,,,,,,Business Process Engineering (BSE-4A),,,,,,,,Pakistan Sudies (BSE-2B)
,Natural Language Processing (MCS-2A),,,,,,,,Differential Equations (BCS-2L),,,,,,,,Marketing Management (BCS-4A),,,,,,,,Object Oriented Programming (BCS-2C),,,,,,,,Probability & Statistics (BCS-4D),,,,,,,,Differential Equations (BDS-2A)
,Artificial Intelligence (BCS-6H),,,,,,,,Data Structures (BCS-4F),,,,,,,,Probability & Statistics (BCS-4F),,,,,,,,Business Process Engineering (BSE-4B),,,,,,,,Pakistan Studies (BCS-2E),,,,,,,,Pakistan Studies (BCS-2D)
,Islamic Studies/Ethics (BCS-2M),,,,,,,,Object Oriented Programming (BSE-2C),,,,,,,,Compiler Construction (BCS-8A),,,,,,,,Design & Analysis of Algo (BCS-6A),,,,,,,,Compiler Construction (BCS-6A),,,,,,,,Differential Equations (BDS-2C)
,Islamic Studies/Ethics (BDS-2D),,,,,,,,Artificial Intelligence (BCS-6G),,,,,,,,Artificial Intelligence (BCS-6F),,,,,,,,Probability & Statistics (BCS-4E),,,,,,,,Theory of Automata (BCS-6B),,,,,,,,Com & Pres Skills Lab (BCS-2M1)
,Finance and Accounting (BCS-4A),,,,,,,,Data Structures (BCS-4G),,,,,,,,Probability & Statistics (BCS-4A),,,,,,,,Probability & Statistics (BCS-4B),,,,,,,,Differential Equations (BDS-2B),,,,,,,,Com & Pres Skills Lab (BCS-2M2)
,Parallel & Dist Computing (BCS-6E),,,,,,,,Islamic Studies/Ethics (BCS-2N),,,,,,,,Differential Equations (BCS-2H),,,,,,,,Theory of Automata (BCS-6A),,,,,,,,Pakistan Studies (BSE-2A),,,,,,,,
,Com & Pres Skills Lab (BCS-2B1),,,,,,,,Discrete Structures (BSE-4B),,,,,,,,Differential Equations (BCS-2J),,,,,,,,,,,,,,,,Com & Pres Skills Lab (BCS-2D1),,,,,,,,
,Com & Pres Skills Lab (BCS-2B2),,,,,,,,Mass Communication (BCS-8A),,,,,,,,Pakistan Studies (BCS-2C),,,,,,,,,,,,,,,,Com & Pres Skills Lab (BCS-2D2),,,,,,,,
,,,,,,,,,Differential Equations (BCS-2B),,,,,,,,Computer Architecture (BCS-8A),,,,,,,,,,,,,,,,Com & Pres Skills Lab (BCS-2C1),,,,,,,,
,,,,,,,,,Operating Systems (BCS-6A),,,,,,,,Com & Pres Skills Lab (BCS-2N1),,,,,,,,,,,,,,,,Com & Pres Skills Lab (BCS-2C2),,,,,,,,
,,,,,,,,,Com & Pres Skills Lab (BCS-2H1),,,,,,,,Com & Pres Skills Lab (BCS-2N2),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Com & Pres Skills Lab (BCS-2H2),,,,,,,,Com & Pres Skills Lab (BCS-2E1),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Com & Pres Skills Lab (BCS-2G1),,,,,,,,Com & Pres Skills Lab (BCS-2E2),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Com & Pres Skills Lab (BCS-2G2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,